"No","Name","Price","Quantity"
229,"ฝรั่งแป้นสีทอง – เบอร์กลาง","30-35","กิโลกรัม"
230,"ฝรั่งแป้นสีทอง – เบอร์ใหญ่","58-60","กิโลกรัม"
231,"ฝรั่งกิมจู – เบอร์เล็ก","35-40","กิโลกรัม"
232,"พุทราซุปเปอร์ – เบอร์เล็ก","25-28",""
233,"น้อยหน่า เบอร์กลาง","70-70",""
234,"น้อยหน่า เบอร์ใหญ่","80-80",""
235,"น้อยหน่า เบอร์เล็ก","55-55",""
236,"แอปเปิลวอชิงตัน เบอร์ 150","1210-1340","กล่อง"
237,"แอปเปิลเอนวี่ เบอร์ 24","1360-1950","กล่อง"
238,"หยางเหมย (2 กก.)","970-1160","ตะกร้า"
239,"แอปเปิลโรส เบอร์ 64","2100-2400","กล่อง"
240,"แอปเปิลแจ๊ส เบอร์ 113","1470-1870","กล่อง"
241,"แอปเปิ้ลกาล่า จีน – กล่อง 163 – 180 ลูก","470-890","กล่อง"
242,"ขนุนมาเลย์ เบอร์กลาง","25-25",""
243,"ขนุนมาเลย์ เบอร์เล็ก","20-20",""
244,"ขนุนมาเลย์ เบอร์ใหญ่","30-30","กิโลกรัม"
245,"ขนุนเพชรราชา เบอร์ใหญ่","40-40",""
246,"เชอร์รี่นอก สีทอง (ชิลี)","1730-2550","กล่อง"
247,"แอปเปิ้ลเขียว อเมริกา – กล่อง 198 ลูก","1570-1780","กล่อง"
248,"มะขามเปียกแกะเม็ด (มีก้าน)","70-80","กิโลกรัม"
249,"แอปเปิลแจ๊ส เบอร์ 90","970-1180","กล่อง"
250,"แตงทิเบต (ฮามิกัว) ขนาดใหญ่","420-560","กล่อง"
251,"เชอร์รี่ ชิลี – กล่อง 1 – 5 กก.","2300-3500","กล่อง"
252,"แอปเปิลวอชิงตัน เบอร์ 64","840-1050","กล่อง"
253,"แคนตาลูป","18-40",""
254,"บลูเบอร์รี่นอก (อเมริกา)","1740-2760","กล่อง"
255,"พีชจีน ผิวขน","410-640","กล่อง"
256,"ส้มซันคิสท์ (นิวซีแลนด์)","1210-1430","กล่อง"
257,"องุ่นไข่ปลานอก ไร้เมล็ด (อเมริกา)","1730-2210","ตะกร้า"
258,"แอปเปิลเอนวี่ เบอร์ 50","2400-2740","กล่อง"
259,"องุ่นดำนอก ไร้เมล็ด (จีน)","470-610","ตะกร้า"
260,"เมลอนไทย","15-45",""
261,"เมลอน พันธุ์ญี่ปุ่น เนื้อส้ม ขนาดกลาง","100-120","กิโลกรัม"
262,"เมลอน ขนาดเล็ก","20-25","กิโลกรัม"
263,"ลูกท้อ (จีน)","330-450","กล่อง"
264,"ลูกพลับ (อเมริกา) 14 ลูก/ลัง","1470-1750","กล่อง"
265,"ส้มซันคิสท์ (ออสเตรเลีย)","830-1150","กล่อง"
266,"ลูกพลับ (เกาหลี) เบอร์ M","370-380","กล่อง"
267,"แอปเปิลพิงค์เลดี้ เบอร์ 110","1050-1230","กล่อง"
268,"แอปเปิลวอชิงตัน เบอร์ 80","830-1180","กล่อง"
269,"แอปเปิลแจ๊ส เบอร์ 135","1270-1360","กล่อง"
270,"ทุเรียนหมอนทอง คละขนาด","80-90","กิโลกรัม"
271,"เมลอน พันธุ์ญี่ปุ่น เนื้อส้ม ขนาดเล็ก","110-135","กิโลกรัม"
272,"แอปเปิลเอนวี่ เบอร์ 70","1950-3100","กล่อง"
273,"แอปเปิลแจ๊ส เบอร์ 150","940-2200","กล่อง"
274,"องุ่นไข่ปลานอก ไร้เมล็ด (จีน)","180-200",""
275,"แอปเปิลพิงค์เลดี้ เบอร์ 100","1100-1250","กล่อง"
276,"กีวี สีเขียว (ออสเตรเลีย)","1150-1270","กล่อง"
277,"แอปเปิลวอชิงตัน เบอร์ 163","1150-1340","กล่อง"
278,"ทับทิมนอก (สเปน)","870-1150","กล่อง"
279,"อะโวคาโดนอก (นิวซีแลนด์) ","1100-1250","กล่อง"
280,"พีชจีน ผิวมัน","430-580","กล่อง"
281,"แอปเปิลวอชิงตัน เบอร์ 113","1420-1740","กล่อง"
282,"ลูกพลับ (เกาหลี) เบอร์ L","390-430","กล่อง"
283,"ลูกพลับ (ญี่ปุ่น) เบอร์ L","1760-2000","กล่อง"
284,"สาลี่เป็ด","430-630","กล่อง"
285,"ส้มแมนดาริน ออสเตรเลีย – กล่อง 70 -110 ลูก","970-1780","กล่อง"
286,"ทับทิมนอก (จีน)","380-650","กล่อง"
287,"สตรอว์เบอร์รี่ (อเมริกา)","1750-2340","กล่อง"
288,"องุ่นแดงนอก ไร้เมล็ด","550-1990","ตะกร้า"
289,"ส้มแมนดาริน (จีน)","710-1150","กล่อง"
290,"กล้วยหอมสุก (เข่ง 7 หวี) – เบอร์ใหญ่","300-400","เข่ง"
291,"กล้วยหอมสุก (เข่ง 7 หวี) – เบอร์กลาง","280-280","เข่ง"
292,"พลับ เกาหลี S","530-760","กล่อง"
293,"องุ่นแดงมีเมล็ด จีน – กล่อง 6 กก.","270-290",""
294,"องุ่นแดงมีเมล็ด จีน","250-260",""
295,"องุ่นแดงไร้เมล็ด อเมริกา","1500-1500",""
296,"แอปเปิลฉินก้วง เบอร์ 28","310-350","กล่อง"
297,"แอปเปิลฉินก้วง เบอร์ 24","260-290","กล่อง"
298,"ลูกแพร์นอก สีแดง (จีน)","380-640","กล่อง"
299,"ลูกแพร์นอก สีน้ำตาล (อเมริกา)","1950-2370","กล่อง"
300,"สตรอว์เบอร์รี่ (ญี่ปุ่น)","1900-2350","กล่อง"
301,"มะขามหวานสีทอง เบอร์ B","80-90","ตะกร้า"
302,"ลูกพลับ (นิวซีแลนด์) 12 ลูก/ลัง","1150-1360","กล่อง"
303,"องุ่นแดงไร้เมล็ด จีน","260-410","ตะกร้า"
304,"อะโวคาโดนอก (ออสเตรเลีย)","1130-1350","กล่อง"
305,"บลูเบอร์รี่นอก (เปรู)","1750-3050","กล่อง"
306,"แอปเปิลฉินก้วง คละขนาด","430-550","กล่อง"
307,"ลูกพลับแห้ง (เกาหลี)","650-750","กล่อง"
308,"องุ่นแดงไร้เมล็ด จีน – กล่อง 5 กก.","250-330","ตะกร้า"
309,"เมลอนทิเบต เนื้อส้ม","360-630","กล่อง"
310,"เชอร์รี่นอก สีแดง (ออสเตรเลีย)","1470-1730","กล่อง"
311,"ทับทิม อินเดีย – กล่อง 12 – 16 ลูก","450-650","กล่อง"
312,"ส้มสายน้ำผึ้ง – เบอร์ 4","28-30","กิโลกรัม"
313,"ส้มเขียวหวาน – เบอร์ 2","13-16","กิโลกรัม"
314,"ส้มเขียวหวาน – เบอร์ 3","12-13","กิโลกรัม"
315,"ลูกพลับ (นิวซีแลนด์) 16 ลูก/ลัง","1250-1400","กล่อง"
316,"สับปะรดหวาน (ศรีราชา) ขนาดเล็ก","17-20",""
317,"สตรอว์เบอร์รี่ เกาหลี – แพค 250 กรัม","730-1050","กล่อง"
318,"ลูกพลับ (อเมริกา) 16 ลูก/ลัง","1570-2340","กล่อง"
319,"ลูกแพร์นอก สีแดง (อเมริกา)","1830-3200","กล่อง"
320,"สาลี่หิมะ เบอร์ 16","450-640","กล่อง"
321,"ลูกพลับ (ญี่ปุ่น) เบอร์ 3L","1730-2350","กล่อง"
322,"ลูกแพร์นอก สีน้ำตาล (จีน)","450-710","กล่อง"
323,"ขนุนทองประเสริฐ – เบอร์กลาง","25-25",""
324,"ขนุนทองประเสริฐ เบอร์เล็ก","15-15",""
325,"ลูกแพร์นอก สีแดง (ออสเตรเลีย)","1350-1650","กล่อง"
326,"ขนุนเพชรราชา เบอร์เล็ก","15-15",""
327,"สับปะรดปัตตาเวีย ขนาดกลาง","20-25",""
328,"กล้วยหอมดิบ (เข่ง 7 หวี) – เบอร์ใหญ่","550-650","เข่ง"
329,"กล้วยหอมดิบ (เข่ง 7 หวี) – เบอร์กลาง","300-400","เข่ง"
330,"สับปะรดน้ำ(ศรีราชา) – เบอร์กลาง","28-28",""
331,"มะละกอฮอลแลนด์ ขนาดใหญ่","30-30","กิโลกรัม"
332,"เมล่อนไทย – เบอร์กลาง","30-40","กิโลกรัม"
333,"สาลี่หยก","450-650","กล่อง"
334,"ลูกพลับ (นิวซีแลนด์) 14 ลูก/ลัง","1150-1330","กล่อง"
335,"ลูกพลับ (จีน) เบอร์ XXL","380-510","กล่อง"
336,"สาลี่ฮ่องเต้","380-670","กล่อง"
337,"ลูกแพร์","1500-1600","กล่อง"
338,"ลูกแพร์นอก สีเขียว (อเมริกา)","2000-2370","กล่อง"
339,"ส้มจีน – กล่อง 8 กก.","350-530","ตะกร้า"
340,"น้อยหน่าเพชรปากช่อง ขนาดเล็ก","18-20",""
341,"มะพร้าวอ่อน (ถุง)","150-220","ถุง"
342,"มะขามหวานสีทอง เบอร์ C","85-85",""
343,"ส้มโอขาวน้ำผึ้ง ขนาดกลาง","40-50","กิโลกรัม"
344,"มะพร้าวเผา","10-22",""
345,"กล้วยน้ำว้า – เบอร์เล็ก","15-20","หวี"
346,"น้อยหน่าเพชรปากช่อง ขนาดกลาง","25-35",""
347,"กล้วยน้ำว้า – เบอร์ใหญ่","35-40","หวี"
348,"ขนุนทองประเสริฐ","25-30",""
349,"กล้วยน้ำว้า – เบอร์กลาง","25-30","หวี"
350,"แตงโมตอปิโด – เบอร์กลาง","70-80","ต่อชิ้น/ตัว/หัว/ลูก"
351,"แอปเปิลเอนวี่ คละขนาด","2250-3250","กล่อง"
352,"ลูกพลับ (จีน) เบอร์ XL","400-470","กล่อง"
353,"ส้มสายน้ำผึ้ง – เบอร์ 5","33-35","กิโลกรัม"
354,"ส้มสายน้ำผึ้ง – เบอร์ 6","38-40","กิโลกรัม"
355,"ส้มเขียวหวาน – เบอร์ 00","23-25","กิโลกรัม"
356,"ส้มเขียวหวาน – เบอร์ 0","18-20","กิโลกรัม"
357,"ส้มสายน้ำผึ้ง – เบอร์ 7","43-45","กิโลกรัม"
358,"ส้มเขียวหวาน – เบอร์ 1","14-16","กิโลกรัม"
359,"แตงโมตอปิโด คละขนาด","30-40",""
360,"องุ่นเขียวไร้เมล็ด จีน – กล่อง 10 กก.","540-930","ตะกร้า"
361,"กีวี ทอง จีน – กล่อง 22 ลูก","950-1150","กล่อง"
362,"กีวี สีเขียว (จีน)","930-1150","กล่อง"
363,"ลูกพลับ (จีน) เบอร์ L","350-470","กล่อง"
364,"ส้มซันคิสท์ (จีน)","870-1150","กล่อง"
365,"บลูเบอร์รี่นอก (ชิลี)","2250-2680","กล่อง"
366,"มะเฟือง – เบอร์ใหญ่","0-0",""
367,"ส้มเขียวหวาน เบอร์ 6","0-0","กิโลกรัม"
368,"ทุเรียนหมอนทอง ขนาดใหญ่","170-180",""
369,"มะพร้าวอ่อน / มะพร้าวน้ำหอม ขนาดเล็ก","150-150","ถุง"
370,"มะละกอฮอลแลนด์ ขนาดกลาง","25-25","กิโลกรัม"
371,"มะละกอแขกดำ","20-30","กิโลกรัม"
372,"แตงโมน้ำผึ้ง(เนื้อเหลือง) – เบอร์เล็ก","30-40","ต่อชิ้น/ตัว/หัว/ลูก"
373,"แตงโมซอนญ่า – เบอร์กลาง","60-90","ต่อชิ้น/ตัว/หัว/ลูก"
374,"ทุเรียนหมอนทอง – เบอร์ใหญ่","160-170","กิโลกรัม"
375,"แตงโมซอนญ่า คละขนาด","40-50","ต่อชิ้น/ตัว/หัว/ลูก"
376,"ส้มจีน ซาถัง","170-380","ตะกร้า"
377,"ส้มเช้ง เบอร์กลาง","0-0","กิโลกรัม"
378,"แตงโมทัมอัพ ขนาดใหญ่","20-30","กิโลกรัม"
379,"มะละกอฮอลแลนด์ ขนาดเล็ก","20-20","กิโลกรัม"
380,"มะม่วงน้ำดอกไม้ดิบ – เบอร์เล็ก","35-35","กิโลกรัม"
381,"สับปะรดภูแล(ผลสด-ปอกเปลือก)","70-70","กล่อง"
382,"มะพร้าวอ่อน / มะพร้าวน้ำหอม ขนาดจัมโบ้","220-220","ถุุง"
383,"สับปะรดปัตตาเวีย – เบอร์ใหญ่","30-35","ลููก"
384,"สับปะรดปัตตาเวีย – เบอร์เล็ก","10-18","ลููก"
385,"ทุเรียนหมอนทอง – เบอร์กลาง","150-160","กิโลกรัม"
386,"ทุเรียนหมอนทอง – เบอร์เล็ก","130-140","กิโลกรัม"
387,"ลำไยอีดอ – เบอร์เล็ก","25-25","กิโลกรัม"
388,"มะพร้าวเผา ขนาดกลาง","15-18","ลูก"
389,"น้อยหน่าเพชรปากช่อง – เบอร์ใหญ่","40-45","กิโลกรัม"
390,"ขนุนทองประเสริฐ เบอร์ใหญ่","30-30","กิโลกรัม"
391,"ขนุนเพชรราชา","30-30","กิโลกรัม"
392,"มะขามหวานสีทอง – เบอร์ A","125-125","กิโลกรัม"
393,"น้อยหน่า – เบอร์กลาง","45-45","กิโลกรัม"
394,"น้อยหน่า – เบอร์ใหญ่","60-65","กิโลกรัม"
395,"ขนุนมาเลย์","18-20","กิโลกรัม"
396,"เมล่อนไทย – เบอร์ใหญ่","55-60","กิโลกรัม"
397,"ส้มโอขาวพวง – เบอร์ใหญ่","0-0","ลูก"
398,"สละเนินวงศ์ – ช่อ","25-30","กิโลกรัม"
399,"แคนตาลูป – เบอร์เล็ก","0-0","กิโลกรัม"
400,"แอปเปิลแคระ ขนาดเล็ก","150-270","ตระกร้า"
401,"มะพร้าวอ่อน – เบอร์กลาง – ถุง (10) ลูก","180-180","ลููก"
402,"เมล่อนไทย – เบอร์เล็ก","20-25","กิโลกรัม"
403,"สับปะรดหวาน (ศรีราชา) ขนาดใหญ่","30-35","กิโลกรัม"
404,"มะพร้าวเผา ขนาดใหญ่","20-25","ลูก"
405,"องุ่นเขียวนอก ไร้เมล็ด (นิวซีแลนด์)","1240-1540","กล่อง"
406,"องุ่นเขียวนอก (จีน)","280-470","กล่อง"
407,"เชอร์รี่นอก สีแดง (แคนาดา)","2230-3800","กล่อง"
408,"สตรอว์เบอร์รี่ – พันธุ์ 80","140-220","กิโลกรัม"
409,"ละไม","10-15","กิโลกรัม"
410,"องุ่นเขียวไร้เมล็ด ออสเตรเลีย","1370-1430","กล่อง"
411,"องุ่นเขียวนอก ไร้เมล็ด (อินเดีย)","750-850","กล่อง"
412,"องุ่นเขียวนอก ไร้เมล็ด (เปรู)","1250-1500","กล่อง"
413,"องุ่นแดงนอก ไร้เมล็ด (ชิลี)","1300-1400","กล่อง"
414,"องุ่นแดงนอก (นิวซีแลนด์)","1350-1630","กล่อง"
415,"องุ่นแดงนอก (อเมริกา)","1560-1860","กล่อง"
416,"องุ่นไชมัสคัส (ญี่ปุ่น)","1740-2600","กล่อง"
417,"องุ่นไชมัสคัส (อเมริกา)","1740-2640","กล่อง"
418,"องุ่นเขียวนอก ไร้เมล็ด (ชิลี)","2370-3730","กล่อง"
419,"องุ่นเขียวนอก (นิวซีแลนด์)","1370-1750","กล่อง"
420,"องุ่นเขียวนอก (ออสเตรเลีย)","1340-1670","กล่อง"
421,"องุ่นแดงนอก (ออสเตรเลีย)","1450-1520","กล่อง"
422,"พลับ เกาหลี M","320-330","กล่อง"
423,"องุ่นดำนอก (อินเดีย)","1200-1350","กล่อง"
424,"องุ่นแดงนอก (เปรู)","1340-1860","กล่อง"
425,"สตรอว์เบอร์รี่ ออสเตรเลีย – แพค 250 กรัม","150-250","กล่อง"
426,"พลับแห้ง เกาหลี","650-700","กล่อง"
427,"พลับ เกาหลี 2 L","410-470","กล่อง"
428,"พลับ เกาหลี L","320-380","กล่อง"
429,"ทุเรียนก้านยาว – เบอร์ใหญ่","150-150","กิโลกรัม"
430,"ทุเรียนก้านยาว – เบอร์กลาง","100-120","กิโลกรัม"
431,"ทุเรียนก้านยาว – เบอร์เล็ก","70-80","กิโลกรัม"
432,"ทุเรียนชะนี – เบอร์กลาง","80-80","กิโลกรัม"
433,"ทุเรียนชะนี – เบอร์ใหญ่","90-100","กิโลกรัม"
434,"ทุเรียนชะนี – เบอร์เล็ก","70-70","กิโลกรัม"
435,"องุ่นเขียวนอก (อเมริกา)","2100-3000","กล่อง"
436,"องุ่นดำไร้เมล็ด อินเดีย","950-1250","กล่อง"
437,"องุ่นแดงนอก ไร้เมล็ด (เปรู)","970-1200","กล่อง"
438,"องุ่นเขียวนอก (ชิลี)","2300-3700","กล่อง"
439,"แอปปริคอท","0-0","กล่อง"
440,"กล้วยหอมห่าม (เข่ง 7 หวี)– เบอร์ใหญ่","550-750","เข่่ง"
441,"กล้วยหอมห่าม (เข่ง 7 หวี)– เบอร์กลาง","310-480","เข่่ง"
442,"องุ่นดำไร้เมล็ด ออสเตรเลีย","970-1450","กล่อง"
443,"กระท้อนปุยฝ้าย – เบอร์กลาง","45-50","กิโลกรัม"
444,"องุ่นดำไร้เมล็ด อเมริกา","2500-2600","กล่อง"
445,"ทุเรียนกระดุม – เบอร์กลาง","85-85","กิโลกรัม"
446,"กระท้อนอีล่า – เบอร์ใหญ่","50-55","กิโลกรัม"
447,"องุ่นดำนอก (ออสเตรเลีย)","1500-2800","กล่อง"
448,"ราสเบอร์รี่ กล่อง","0-0","กล่อง"
449,"องุ่นเขียวไร้เมล็ด จีน – กล่อง 6 กก.","340-350","ตะกร้า"
450,"มะขามเปียกมีเม็ด","50-60","กิโลกรัม"
451,"องุ่นแดงนอก ไร้เมล็ด (นิวซีแลนด์)","1530-1780","กล่อง"
452,"ราสเบอร์รี่ แพ็ค","0-0","แพ็ค"
453,"องุ่นดำนอก (เปรู)","1020-1460","กล่อง"
454,"แอปเปิ้ลเขียว จีน – กล่อง110 -120 ลูก","520-520","กล่อง"
455,"สาลี่หยก จีน – กล่อง 16 – 32 ลูก","630-740","กล่อง"
456,"องุ่นดำนอก ไร้เมล็ด (เปรู)","850-1100","กล่อง"
457,"ลูกแพร์แดง อเมริกา กล่อง 14-24 ลูก","0-0","กล่อง"
458,"ลูกแพร์แดง จีน กล่อง 12-24 ลูก","250-550","กล่อง"
459,"พลับ นิวซีแลนด์ กล่อง 18 ลูก","1300-1350","กล่อง"
460,"พลับ นิวชีแลนด์ กล่อง 12 ลูก","0-0","กล่อง"
461,"พลับ ญี่ปุ่น เบอร์ 2L","260-260","กล่อง"
462,"พลับ อเมริกา กล่อง 10 ลูก","0-0","กล่อง"
463,"พลับ อเมริกา กล่อง 12 ลูก","0-0","กล่อง"
464,"มันแกว – เบอร์ใหญ่","0-0","กิโลกรัม"
465,"พลับ ญี่ปุ่น เบอร์ 3L","0-0","กล่อง"
466,"พลับ (ไทย) – เบอร์ A เล็ก","0-0","กิโลกรัม"
467,"พลับ นิวซีแลนด์ กล่อง 14 ลูก","1410-1450","กล่อง"
468,"พลับ นิวซีแลนด์ กล่อง 16 ลูก","1060-1100","กล่อง"
469,"พลับ จีน กล่อง 10 กก","350-450","กล่อง"
470,"พลับ จีน เบอร์ XL","280-330","กล่อง"
471,"พลับ จีน เบอร์ L","380-400","กล่อง"
472,"พลับ จีน กล่อง 14 กก.","0-0","กล่อง"
473,"พลับ (ไทย) – เบอร์ AAA ใหญ่","0-0","กิโลกรัม"
474,"พลับ (ไทย) – เบอร์ AA กลาง","0-0","กิโลกรัม"
475,"พลับ อเมริกา กล่อง 14 ลูก","0-0","กล่อง"
476,"พลับ อเมริกา กล่อง 16ลูก","0-0","กล่อง"
477,"พลับ จีน เบอร์ XXL","230-260","กล่อง"
478,"พลับ ญี่ปุ่น เบอร์ L","0-0","กล่อง"
479,"พลับ จีน กล่อง 17 กก.","0-0","กล่อง"
480,"กีวี ฝรั่งเศส – กล่อง 33 ลูก","1150-1300","กล่อง"
481,"กีวี ออสเตรเลีย – กล่อง 5 -10 กก.","0-0","กล่อง"
482,"มะปรางหวาน – เบอร์ใหญ่","0-0","กิโลกรัม"
483,"มะปรางหวาน – เบอร์กลาง","0-0","กิโลกรัม"
484,"ลูกไหนแดง นิวซีแลนด์","0-0","กล่อง"
485,"กีวี อิตาลี","0-0","กล่อง"
486,"สาลี่หิมะ เกาหลี – กล่อง 16 – 24 ลูก","900-1000","กล่อง"
487,"สาลี่หิมะ จีน – กล่อง 14 – 32 ลูก","400-480","กล่อง"
488,"ลูกไหนดำ ออสเตรเลีย","950-1000","กล่อง"
489,"ลูกไหนแดง อเมริกา","1750-2230","กล่อง"
490,"ลูกไหนแดง ออสเตรเลีย","0-0","กล่อง"
491,"ลูกไหนดำ นิวซีแลนด์","0-0","กล่อง"
492,"มันไข่ – เบอร์เล็ก","0-0","กิโลกรัม"
493,"ลูกไหนดำ อเมริกา","0-0","กล่อง"
494,"ลูกไหนดำ จีน","0-0","ตระกร้า"
495,"สาลี่หิมะ ญี่ปุ่น กล่อง 16 ลูก","1250-1550","กล่อง"
496,"สาลี่มงกุฏ จีน – กล่อง 20 – 45 ลูก","550-780","กล่อง"
497,"สาลี่เป็ด จีน – กล่อง 80 – 96 ลูก","420-440","กล่อง"
498,"สาลี่ ญี่ปุ่น – กล่อง18 -32 ลูก","280-660","กล่อง"
499,"ส้มโอขาวแป้น – เบอร์ใหญ่","0-0","ลูก"
500,"ส้มโอขาวแป้น – เบอร์เล็ก","0-0","ลูก"
501,"ส้มโอขาวน้ำผึ้ง – เบอร์เล็ก","20-30","ลูก"
502,"ส้มโอขาวน้ำผึ้ง – เบอร์กลาง","50-50","ลูก"
503,"ส้มโอขาวใหญ่ – เบอร์ใหญ่","70-70","ลูก"
504,"ส้มโอขาวแตงกวา – เบอร์เล็ก","0-0","ลูก"
505,"ส้มโอขาวใหญ่ – เบอร์เล็ก","0-0","ลูก"
506,"ส้มโอขาวแป้น – เบอร์กลาง","0-0","ลูก"
507,"ส้มโอขาวพวง – เบอร์กลาง","0-0","ลูก"
508,"ส้มโอขาวแตงกวา – เบอร์ใหญ่","0-0","ลูก"
509,"ทับทิมไร้เมล็ด สเปน – กล่อง14 – 15 ลูก (8 กก.)","330-400","กล่อง"
510,"ส้มโอทองดี – เบอร์ใหญ่","50-50","ลูก"
511,"ทับทิมเนื้อชมพู จีน 8A – กล่อง 13 กก","370-640","กล่อง"
512,"ทับทิมอิสราเอล – กล่อง 8 ลูก","0-0","กล่อง"
513,"ส้มโอขาวพวง – เบอร์เล็ก","0-0","ลูก"
514,"ส้มโอทองดี – เบอร์เล็ก","0-0","ลูก"
515,"มะกอกน้ำ (คละ)","0-0","กิโลกรัม"
516,"ทับทิมไร้เมล็ด สเปน – กล่อง12 ลูก","670-1250","กล่อง"
517,"ทับทิมเนื้อชมพู จีน 8 A – 9 A – กล่อง 10 – 14 กก","370-670","กล่อง"
518,"ทับทิมน้ำผึ้ง จีน 8 A – 9 A – กล่อง 10 – 14 กก.","190-370","กล่อง"
519,"ทับทิมเนื้อแดง จีน 8 A – 9 A – กล่อง 12 – 14 ก","450-750","กล่อง"
520,"ทับทิมเนื้อแดง จีน 6 A – 7 A – กล่อง 10 -15 กก.","490-690","กล่อง"
521,"ทับทิมน้ำผึ้ง จีน 6 A – 7 A – กล่อง 13 – 15 กก.","490-690","กล่อง"
522,"ทับทิมไร้เมล็ด สเปน – กล่อง10 ลูก","0-0","กล่อง"
523,"ทับทิมน้ำผึ้ง จีน 2 A – 3 A – กล่อง 15 กก.","0-0","กล่อง"
524,"ทับทิมไร้เมล็ด สเปน – กล่อง 8 ลูก (4.5 กก.)","0-0","กล่อง"
525,"ทับทิมไร้เมล็ด สเปน – กล่อง20 ลูก (10 กก.)","0-0","กล่อง"
526,"ทับทิมเนื้อชมพู จีน 6 A – 7 A – กล่อง 10 – 15 กก.","470-560","กล่อง"
527,"ทับทิมไร้เมล็ด สเปน – กล่อง24 ลูก","0-0","กล่อง"
528,"ทับทิมเนื้อชมพู จีน 2 A – 3 A – กล่อง 10 – 15 กก.","0-0","กล่อง"
529,"ทับทิมเนื้อชมพู จีน 4 A – 5 A – กล่อง 10 – 15 กก.","0-0","กล่อง"
530,"ทับทิมน้ำผึ้ง จีน 4 A – 5 A – กล่อง 15 กก.","0-0","กล่อง"
531,"ทับทิมเนื้อชมพู จีน 9A – กล่อง 13 กก.","0-0","กล่อง"
532,"อินทผลัม อิสราเอล – กล่อง 250 กรัม.","170-250","กล่อง"
533,"มะพร้าวเผา – เบอร์เล็ก","0-0","ลูก"
534,"ละมุดมาเลย์ – เบอร์กลาง","23-25","กิโลกรัม"
535,"ละมุดหวานกรอบ – เบอร์ใหญ่","0-0","กิโลกรัม"
536,"อินทผลัม อิสราเอล – กล่อง 5 กก.","0-0","กล่อง"
537,"อินทผลัม อียิปต์ – กล่อง 5 กก.","0-0","กิโลกรัม"
538,"ละมุดหวานสุก – เบอร์ใหญ่","0-0","กิโลกรัม"
539,"ละมุดหวานกรอบ – เบอร์กลาง","13-15","กิโลกรัม"
540,"แห้วต้มไม่ปอกเปลือก","50-50","กิโลกรัม"
541,"ละมุดหวานกรอบ – เบอร์เล็ก","0-0","กิโลกรัม"
542,"ละมุดหวานสุก – เบอร์เล็ก","0-0","กิโลกรัม"
543,"ละมุดหวานสุก – เบอร์กลาง","0-0","กิโลกรัม"
544,"ละมุดมาเลย์ – เบอร์ใหญ่","0-0","กิโลกรัม"
545,"ละมุดมาเลย์ – เบอร์เล็ก","0-0","กิโลกรัม"
546,"แห้วดิบ","40-50","กิโลกรัม"
547,"แอปเปิ้ลกาล่า อเมริกา – กล่อง125 – 150 ลูก","1260-1360","กล่อง"
548,"แอปเปิ้ลเขียว นิวซีแลนด์ – กล่อง 136 -150 ลูก","0-0","กล่อง"
549,"แอปเปิ้ลเขียว นิวซีแลนด์ – กล่อง 90 ลูก","0-0","กล่อง"
550,"แอปเปิ้ลวอชิงตัน จีน – กล่อง175 ลูก","0-0","กล่อง"
551,"แอปเปิ้ลเขียว จีน – กล่อง 63 – 88 ลูก","0-0","กล่อง"
552,"แอปเปิ้ลทอง อเมริกา – กล่อง 100 ลูก","0-0","กล่อง"
553,"แอปเปิ้ลฟูจิยักษ์ ญี่ปุ่น – กล่อง 18 ลูก","1250-1670","กล่อง"
554,"แอปเปิ้ลเขียว นิวซีแลนด์ – กล่อง 120 ลูก","1250-2330","กล่อง"
555,"แอปเปิ้ลกาล่า เซาท์แอฟริกา – กล่อง198 – 216 ลูก","0-0","กล่อง"
556,"แอปเปิ้ลกาล่า จีน – กล่อง 100 – 125 ลูก","520-590","กล่อง"
557,"แอปเปิ้ลกาล่า อเมริกา – กล่อง198 – 216 ลูก","0-0","กล่อง"
558,"แอปเปิ้ลกาล่า จีน – กล่อง 198 – 216 ลูก","0-0","กล่อง"
559,"แอปเปิ้ลกาล่า จีน – กล่อง 88 ลูก","0-0","กล่อง"
560,"แอปเปิ้ลฟูจิยักษ์ ญี่ปุ่น","0-0","กล่อง"
561,"แอปเปิ้ลกาล่า นิวซีแลนด์ – กล่อง163 -180 ลูก","950-1180","กล่อง"
562,"แอปเปิ้ลวอชิงตัน อเมริกา – กล่อง 72 ลูก","0-0","กล่อง"
563,"แอปเปิ้ลกาล่า อเมริกา – กล่อง163 – 180 ลูก","0-0","กล่อง"
564,"แอปเปิ้ลแจ๊ส – กล่อง 135 ลูก","1160-1200","กล่อง"
565,"แอปเปิ้ลแจ๊ส – กล่อง 90 ลูก","0-0","กล่อง"
566,"แอปเปิ้ลฟูจิ นิวซีแลนด์ – กล่อง 110 ลูก","1250-1300","กล่อง"
567,"แอปเปิ้ลฟูจิ เซาท์แอฟริกา – กล่อง 175 – 180 ลูก","0-0","กล่อง"
568,"แอปเปิ้ลวอชิงตัน จีน – กล่อง125 ลูก","490-510","กล่อง"
569,"แอปเปิ้ลวอชิงตัน จีน – กล่อง150 ลูก","520-520","กล่อง"
570,"แอปเปิ้ลวอชิงตัน อเมริกา – กล่อง 216 ลูก","0-0","กล่อง"
571,"แอปเปิ้ลกาล่า ฝรั่งเศส – กล่อง198 – 216 ลูก","0-0","กล่อง"
