"No","Name","Price","Quantity"
919,"แก้วมังกร เนื้อขาว (ไทย) ขนาดกลาง","33-35","กิโลกรัม"
920,"บัวหิมะ (10กก.)","130-270","กิโลกรัม"
921,"มะม่วงเขียวเสวย ขนาดใหญ่ สุก","55-70","กิโลกรัม"
922,"ส้มโอทองดี ขนาดเล็ก","10-22","กิโลกรัม"
923,"ลำไยอีดอ เบอร์กลาง","30-30","กิโลกรัม"
924,"ลองกอง – เบอร์เล็ก","15-20","กิโลกรัม"
925,"ลำไยอีดอ เบอร์ใหญ่","40-45","กิโลกรัม"
926,"ลองกอง – เบอร์ใหญ่","40-45","กิโลกรัม"
927,"มะม่วงเขียวเสวยดิบ – เบอร์กลาง","40-40","กิโลกรัม"
928,"ส้มโอขาวน้ำผึ้ง ขนาดเล็ก","20-30","กิโลกรัม"
929,"ส้มโอขาวหอม - เบอร์เล็ก","0-0","ลููก"
930,"ส้มโอขาวพวง ขนาดกลาง","0-0","กิโลกรัม"
931,"มะละกอฮอลแลนด์","20-30","กิโลกรัม"
932,"มะม่วงเขียวเสวยดิบ – เบอร์ใหญ่","50-50","กิโลกรัม"
933,"มะม่วงแก้วขมิ้น","10-18","กิโลกรัม"
934,"ส้มเช้ง เบอร์เล็ก","0-0","กิโลกรัม"
935,"ส้มโอขาวใหญ่ – เบอร์กลาง","50-50","ลูก"
936,"ส้มโอทองดี – เบอร์กลาง","25-25","ลูก"
937,"ส้มโอทับทิมสยาม ขนาดกลาง","90-100","ลูก"
938,"ส้มโอทับทิมสยาม ขนาดเล็ก","75-80","ลูก"
939,"ส้มโอทับทิมสยาม ขนาดใหญ่","120-125","ลูก"
940,"ลูกไหนแดง จีน","350-630","ตระกร้า"
941,"ส้มโอขาวหอม ขนาดกลาง","0-0","ลูก"
942,"ส้มโอขาวหอม ขนาดใหญ่","0-0","ลูก"
943,"สละอินโด ช่อ ขนาดกลาง","850-1050","ตระกร้า"
944,"สละอินโด ช่อ ขนาดใหญ่","760-950","ตระกร้า"
945,"สละอินโด ร่วง","550-730","ตระกร้า"
946,"ลิ้นจี่จักรพรรดิ์ คละขนาด","0-0","กิโลกรัม"
947,"เงาะสีชมพู (คละ)","0-0","กิโลกรัม"
948,"มะขามป้อม","60-110","กิโลกรัม"
949,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดกลาง","100-120","กิโลกรัม"
950,"มันญี่ปุ่น เนื้อสีม่วง คละขนาด","120-135","กิโลกรัม"
951,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดเล็ก","95-120","กิโลกรัม"
952,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดใหญ่","130-200","กิโลกรัม"
953,"มันญี่ปุ่น เนื้อสีม่วง ขนาดกลาง","110-140","กิโลกรัม"
954,"มันญี่ปุ่น เนื้อสีม่วง ขนาดเล็ก","100-120","กิโลกรัม"
955,"มันญี่ปุ่น เนื้อสีม่วง ขนาดใหญ่","100-132","กิโลกรัม"
956,"มะเขือยาว","38-40","กิโลกรัม"
957,"มะเฟือง","0-0","กิโลกรัม"
958,"เลม่อน","450-650","กิโลกรัม"
959,"อะโวคาโด","50-70","กิโลกรัม"
960,"เสาวรส","35-50","กิโลกรัม"
