"ลำดับที่","ชื่อสินค้า","ราคา(บาท)","หน่วย"
402,"ใบซานาดู – กำ (10 ใบ)","0-0","กำ"
403,"เห็ดหอมแห้งเล็กและจิ๋ว – ถุง 1 กิโลกรัม","260-280","กิโลกรัม"
404,"เห็ดหอมแห้งจัมโบ้ลาย – ถุง 1 กิโลกรัม","300-400","กิโลกรัม"
405,"เห็ดหอมแห้งใหญ่ – ถุง 1 กิโลกรัม","280-300","กิโลกรัม"
406,"ถั่วเคลือบอบงา","90-100","กิโลกรัม"
407,"ถั่วสมุนไพร","100-120","ถุง"
408,"ถั่วดำ – เล็ก","42-45","กิโลกรัม"
409,"แตงไทย – เบอร์เล็ก","6-7","กิโลกรัม"
410,"พริกยำเขียว","35-50","กิโลกรัม"
411,"ใบโหระพา","50-60","กิโลกรัม"
412,"ถั่วลันเตา","90-120","กิโลกรัม"
413,"ต้นกระเทียม","70-80","กิโลกรัม"
414,"คะน้าฮ่องกง","150-170","กิโลกรัม"
415,"มะขามป้อม","60-110","กิโลกรัม"
416,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดกลาง","100-120","กิโลกรัม"
417,"มันญี่ปุ่น เนื้อสีม่วง คละขนาด","120-135","กิโลกรัม"
418,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดเล็ก","95-120","กิโลกรัม"
419,"มันญี่ปุ่น เนื้อสีเหลือง ขนาดใหญ่","130-200","กิโลกรัม"
420,"มันญี่ปุ่น เนื้อสีม่วง ขนาดกลาง","110-140","กิโลกรัม"
421,"มันญี่ปุ่น เนื้อสีม่วง ขนาดเล็ก","100-120","กิโลกรัม"
422,"มันญี่ปุ่น เนื้อสีม่วง ขนาดใหญ่","100-132","กิโลกรัม"
423,"มะเขือยาว","38-40","กิโลกรัม"
424,"มะเฟือง","0-0","กิโลกรัม"
425,"เลม่อน","450-650","กิโลกรัม"
426,"พริกไทยเม็ด","140-250","กิโลกรัม"
427,"อะโวคาโด","50-70","กิโลกรัม"
428,"เสาวรส","35-50","กิโลกรัม"
